,neighbourhood_group, mean_price,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,new_price
3467,Brooklyn,120.22525762129668,4616865,Colorful Room in Crown Heights,6028908,Kelly,Crown Heights,40.67569,-73.95548,Private room,38,10,0,,,1,0,3800
3468,Brooklyn,120.22525762129668,4620505,1br - Williamsburg Luxury Sublet,12511067,Jaclyn,Williamsburg,40.718,-73.95344,Entire home/apt,95,1,0,,,1,0,9500
3469,Brooklyn,120.22525762129668,4623635,Historic Brownstone Duplex,1136842,Amanda,Fort Greene,40.69249,-73.97068,Entire home/apt,225,5,8,2020-07-01,0.12,1,59,22500
3470,Brooklyn,120.22525762129668,4623696,Great deal in Heart of Greenpoint,2378231,Romy,Greenpoint,40.73108,-73.95416,Entire home/apt,85,4,4,2015-12-29,0.06,1,0,8500
3471,Brooklyn,120.22525762129668,4624874,Flatbush Gardens II,23162890,Terrance,Flatbush,40.65039,-73.96393,Private room,72,3,37,2018-10-15,0.53,2,365,7200
3472,Brooklyn,120.22525762129668,4629138,"Stylish apartment in prime Williamsburg, Brooklyn",284570,Paige & Eric,Williamsburg,40.71395,-73.95844,Entire home/apt,150,2,39,2020-01-01,0.57,1,255,15000
3473,Brooklyn,120.22525762129668,4629211,Brooklyn - Funky 1 Bedroom,3754729,Mike,Bushwick,40.69087,-73.90917,Entire home/apt,123,3,55,2020-02-26,0.8,1,267,12300
3474,Brooklyn,120.22525762129668,4629599,Coozy Room In Park Slope.,22503794,Shawn,South Slope,40.66238,-73.98457,Private room,95,1,2,2015-08-08,0.03,1,365,9500
3475,Brooklyn,120.22525762129668,4629753,Bright& Large Apartment in a amazing neighborhood.,21785284,Adel,Carroll Gardens,40.67909,-73.99593,Private room,250,15,5,2018-07-17,0.08,1,365,25000
3476,Brooklyn,120.22525762129668,4629870,"Super Quiet, Private Patio",16437254,Benjamin,Boerum Hill,40.68851,-73.98655,Entire home/apt,108,3,8,2020-07-13,0.14,16,320,10800
3477,Brooklyn,120.22525762129668,4636323,1x furnished Bdr in 2Bdr Apt-Wburg,24006197,Piper,Williamsburg,40.7118,-73.93729,Private room,95,1,0,,,1,0,9500
3478,Brooklyn,120.22525762129668,4637145,Cozy apartment in Williamsburg,3123405,Pénélope,Williamsburg,40.7033,-73.94305,Private room,58,1,4,2018-02-22,0.09,1,0,5800
3479,Brooklyn,120.22525762129668,4637146,Gorgeous Parlor Floor Suite near Subway,1755097,Jay,Bedford-Stuyvesant,40.69105,-73.92992,Entire home/apt,162,2,238,2020-02-25,3.6,2,0,16200
3480,Brooklyn,120.22525762129668,4637858,Chic apartment in Brooklyn with stunning view,5552587,Chris,Bedford-Stuyvesant,40.69492,-73.95839,Private room,99,3,15,2019-09-02,0.22,1,318,9900
3481,Brooklyn,120.22525762129668,4638668,Beautiful Apartment in Greenpoint,6569891,Brandon,Greenpoint,40.73396,-73.95537,Private room,150,1,0,,,1,0,15000
3482,Brooklyn,120.22525762129668,4639179,"Private room, minutes from subway!",3571821,Andy & Friends,Bedford-Stuyvesant,40.68951,-73.9565,Private room,44,5,86,2017-12-31,1.32,4,0,4400
3483,Brooklyn,120.22525762129668,4639451,Comfortable Greenpoint Bedroom,24020898,Rebekah,Greenpoint,40.72499,-73.94481,Private room,55,6,0,,,1,0,5500
3484,Brooklyn,120.22525762129668,4639746,Charming Studio in Carroll Gardens,6470787,Franklin,Carroll Gardens,40.68244,-73.99539,Entire home/apt,100,3,15,2016-06-13,0.22,1,0,10000
3485,Brooklyn,120.22525762129668,4642913,Spacious Bright and Airy,16035346,Jonathan,Windsor Terrace,40.65057,-73.97858,Entire home/apt,120,7,23,2019-01-05,0.33,1,305,12000
3486,Brooklyn,120.22525762129668,4644828,Hip&Central! Charming Williamsburg!,805843,Johnny,Williamsburg,40.71745,-73.95961,Entire home/apt,175,2,5,2017-01-06,0.09,1,0,17500
3487,Brooklyn,120.22525762129668,4645319,Beautiful private unit in the heart of Brooklyn,2520125,Katja And Jermaine,East New York,40.66171,-73.89891,Entire home/apt,50,60,190,2020-03-22,3.05,2,136,5000
3488,Brooklyn,120.22525762129668,4649627,"Spacious 1 BR, En Suite in Brownstone!",9492212,Emily And Joel,Park Slope,40.6702,-73.97885,Private room,139,2,88,2018-12-31,1.29,4,0,13900
3489,Brooklyn,120.22525762129668,4650725,Lovely Room in a 2 BR in Greenpoint,24075308,Saskia,Greenpoint,40.72518,-73.93844,Private room,85,14,3,2015-07-03,0.04,1,0,8500
3490,Brooklyn,120.22525762129668,4651486,Prospect Park 2BR Near MANHATTAN!!!,2563415,Anthony,Prospect-Lefferts Gardens,40.65601,-73.96176,Entire home/apt,125,3,70,2020-03-09,1.91,1,89,12500
